supplier,supplier_clean,diff
"ООО ""ХИМСЕРВИС""",himservis,0.50
"ООО ""ХИМВЕТ""",himvet,0.53
"ООО ""ХИМЗАЩИТА""",himzaщita,0.53
"ООО ""ХИМЭКСИ""",himэksi,0.50
HIP LIK Packaging Products Ltd,hip lik packaging products ltd,0.16
"Hiperpeniche - Artigos Para O Lar, Decoração, Unipessoal Lda...","hiperpeniche - artigos para o lar, decoração, unipessoal",0.28
Hiperquimica-Produtos Quimicos Industriais Lda,hiperquimica-produtos quimicos industriais,0.37
HIRA Company Ltd (THE),hira company ltd (the),0.25
"ООО ""ХИРОН""",hiron,0.37
"ООО ""ХИРОН 666""",hiron 666,0.71
ХИСИМОВ ИЛЬНУР НАЖИБОВИЧ,hisimov ilьnur nažibovič,0.24
"Hispamast, S. L.",hispamast,0.24
Hive Learning Ltd,hive learning ltd,0.31
Хлестов Владимир Васильевич,hlestov vladimir vasilьevič,0.23
Хлопов Геннадий Игоревич,hlopov gennadiй igorevič,0.55
HLP Klearfold Ltd,hlp klearfold ltd,0.34
HLS-Flex,hls-flex,0.32
"HMEZAD - TMT transport, mehanizacija, trgovina, d.o.o., Ljubljana","hmezad - tmt transport, mehanizacija, trgovina, d.o.o., ljubljana",0.05
HMI-Higimed Industrie ICS SRL,hmi-higimed industrie ics,0.22
"Hmt - Am - Reabilitação e Serviços, Lda",hmt - am - reabilitação e serviços,0.27
HMV Versicherungen,hmv versicherungen,0.23
"Hmvm, Lda",hmvm,0.27
HNAT GmbH,hnat,0.25
"Hnm - Importação e Exportação, Lda",hnm - importação e exportação,0.18
Hobby Hall Group OÜ,hobby hall group oü,0.21
Hodonský s.r.o.,hodonský,0.22
Hoge Systems Szolgáltató Korlátolt Felelősségű Társaság,hoge systems szolgáltató korlátolt felelősségű társaság,0.13
Хохлов Александр Николаевич,hohlov aleksandr nikolaevič,0.22
Hologic Ltd,hologic ltd,0.32
Holík International s.r.o.,holík international,0.33
HOM SA,hom,0.18
"Home Unique International Trading Co., Ltd.","home unique international trading co., ltd",0.13
"Homero Marinho Cerqueira, Lda",homero marinho cerqueira,0.36
Honeywell Safety Products UK Ltd,honeywell safety products uk ltd,0.21
"Hong Jin Medical Science and Tecnology Service, LTD","hong jin medical science and tecnology service, ltd",0.39
"HongIk Czech, s.r.o.",hongik czech,0.29
Hongkong Oceanwest EC CO Ltd,hongkong oceanwest ec co ltd,0.45
HongKong Travis Asia Limited,hongkong travis asia limited,0.54
"Hongzhou Sunschine IMP.EXP>Co., Ltd","hongzhou sunschine imp.exp>co., ltd",0.44
"Hongzhou Sunschine IMP EXP>CO., Ltd","hongzhou sunschine imp.exp>co., ltd",1.00
Hooper Services Ltd,hooper services ltd,0.44
Hop Nhat International Joint Stock Company,hop nhat international joint stock company,0.26
"Hope Care, S.A",hope care,0.27
"Hora H - Agência Global de Comunicação, Unipessoal Lda","hora h - agência global de comunicação, unipessoal",0.24
Horacio & Madalena Viegas Lda,horacio & madalena viegas,0.43
HOREA & CARMEN S.R.L.,horea & carmen,0.51
"ООО ""ХОРЕКА 29""",horeka 29,0.52
Horiba Abx Sas - Sucursal Portuguesa,horiba abx sas - sucursal portuguesa,0.22
Horiba UK Ltd,horiba uk ltd,0.41
"Horizon Behaviour, Lda",horizon behaviour,0.40
"HORIZONT, z. ú.","horizont, z. ú",0.52
Hormofuncional-Centro de Hormonologia Funcional Lda,hormofuncional-centro de hormonologia funcional,0.30
HORTAS SUMINISTROS SL,hortas suministros,0.25
"Hortas Suministros, S. L.",hortas suministros,1.00
HORVATH´s SPEZEREYEN KONTOR GmbH,horvath´s spezereyen kontor,0.40
Hospiarte-Equipamentos Hospitalares e Veterinarios Lda,hospiarte-equipamentos hospitalares e veterinarios,0.29
Hospilux SA,hospilux,0.21
Hospisistemas - Sistemas Informáticos Lda,hospisistemas - sistemas informáticos,0.22
"Hospital Cuf Infante Santo, S.A",hospital cuf infante santo,0.44
HOSPITAL SCIENTIFIC CONSULTING,hospital scientific consulting,0.54
HOSPITAL SCIENTIFIC CONSULTING srl,hospital scientific consulting,1.00
Hospital Services Ltd,hospital services ltd,0.63
Hospitex-Material Hospitalar Lda,hospitex-material hospitalar,0.37
Hospitécnica - Comércio de Equipamento Médico-Hospitalar Lda...,hospitécnica - comércio de equipamento médico-hospitalar,0.45
"Hospivida - Produtos Médicos e Hospitalares, Unipessoal Lda","hospivida - produtos médicos e hospitalares, unipessoal",0.54
Hossam DOO,hossam,0.16
Hossam doo,hossam,1.00
Hostra Gummi und Kunststoffe GmbH,hostra gummi und kunststoffe,0.29
"Hotel dos Loios, Lda",hotel dos loios,0.19
"Hotel Premium Maia, Lda",hotel premium maia,0.42
"ООО ""ХОТУСТРОЙСНАБ""",hotustroйsnab,0.32
House Club Hsconfort,house club hsconfort,0.30
Housing 21,housing 21,0.33
"Houspring, Lda",houspring,0.74
Howden Caninenberg,howden caninenberg,0.37
"Hoyer Praha, s.r.o.",hoyer praha,0.28
"ООО ""ХОЗСФЕРА""",hozsfera,0.53
HOŠE KOMERC DOO,hoše komerc,0.42
"Hr - Hospitalar, Lda",hr - hospitalar,0.23
"Hr Protecção, S.A",hr protecção,0.37
Hradišťská lékárenská s.r.o.,hradišťská lékárenská,0.30
Храмцов Александр Иванович,hramcov aleksandr ivanovič,0.30
Храмцова Наталья Александровна,hramcova natalья aleksandrovna,0.68
Храмцова Светлана Викторовна,hramcova svetlana viktorovna,0.59
Хрипко Евгений,hripko evgeniй,0.33
Хрусталева Наталия Борисовна,hrustaleva nataliя borisovna,0.29
"Hta - Hóteis, Turismo e Animação dos Açores S.A","hta - hóteis, turismo e animação dos açores",0.28
Huansheng Tianjin Technological Development Co.,huansheng tianjin technological development co,0.22
"Hugo Flávio Ferreira - Comércio, Unipessoal Lda","hugo flávio ferreira - comércio, unipessoal",0.25
"Hugo, João & Bruno, Lda","hugo, joão & bruno",0.30
Huhtamaki Foodservice Delta Ltd,huhtamaki foodservice delta ltd,0.24
Huippu Group Oy,huippu group oy,0.26
HUM GmbH,hum,0.22
HUM,hum,1.00
HUNTER APPAREL SOLUTIONS LIMITED,hunter apparel solutions limited,0.17
Hunter Apparel Solutions Ltd,hunter apparel solutions ltd,0.93
"Hupapel - Papelaria e Livraria, Unipessoal Lda","hupapel - papelaria e livraria, unipessoal",0.31
Hurt OÜ,hurt oü,0.20
ХУСАИНОВ АЛЬБЕРТ РАФАЭЛЕВИЧ,husainov alьbert rafaэlevič,0.29
"UAB ""Husera""",husera,0.36
Hutchison Technologies,hutchison technologies,0.29
Хворова Жанна Александровна,hvorova žanna aleksandrovna,0.24
"Hybridclima - Soluções Energéticas, Unipessoal Lda","hybridclima - soluções energéticas, unipessoal",0.19
"Hydra It - Tecnologias de Informação e Conteúdos, Lda",hydra it - tecnologias de informação e conteúdos,0.36
Hygiene Austria LP GmbH,hygiene austria lp,0.24
hygiene products GmbH,hygiene products,0.53
Hygienický servis s.r.o.,hygienický servis,0.48
"Hygistar - Produtos de Higiene e Limpeza, Unipessoal Lda","hygistar - produtos de higiene e limpeza, unipessoal",0.26
Hygiène 29,hygiène 29,0.23
"Hygotrend, s.r.o.",hygotrend,0.42
HYPERICI FARM SRL,hyperici farm,0.27
Hypros SA,hypros,0.42
Hélio & Vitor Lda,hélio & vitor,0.21
"Hélio Coelho - Organização de Eventos, Unipessoal Lda","hélio coelho - organização de eventos, unipessoal",0.29
"ООО ""ХЭППИ ДЕЙ ПЛЮС""",hэppi deй plюs,0.25
"ООО ""ХЭППИ ДЕЙ-П""",hэppi deй-p,0.80
"I-Colours, Lda",i-colours,0.20
I.C.S. EYECON MEDICAL SRL,i.c.s. eyecon medical,0.27
I.F.H.I. - Instalações de Fluídos Hospitalares e Industriais...,i.f.h.i. - instalações de fluídos hospitalares e industriais,0.22
I.I. I I FORA BIANCA ANAMARIA -,i.i. i i fora bianca anamaria -,0.37
I.I. STANA VICTORIA,i.i. stana victoria,0.44
I.L.C.-Instrumentos de Laboratorio e Cientificos Lda,i.l.c.-instrumentos de laboratorio e cientificos,0.33
"I.T.A.-Intertact, s.r.o.",i.t.a.-intertact,0.41
IATROFARM,iatrofarm,0.40
"Ib - Agência Para A Dinamização Económica, E.M","ib - agência para a dinamização económica, e.m",0.18
ИБАСОВ ЕВГЕНИЙ ВАДИМОВИЧ,ibasov evgeniй vadimovič,0.23
"Ibcl, Lda",ibcl,0.14
"Iberclean - Sociedade de Representações Produtos de Higiene,...",iberclean - sociedade de representações produtos de higiene,0.13
Iberdata - Equipamentos S.A,iberdata - equipamentos,0.37
"IberHospiTex, S. A.",iberhospitex,0.34
Iberhospitex S.A.,iberhospitex,1.00
IBERHOSPITEX SA,iberhospitex,1.00
"Iberia Container - Logística de Contentores, Lda",iberia container - logística de contentores,0.25
"Iberia Líneas Aéreas de España, S.A.",iberia líneas aéreas de españa,0.44
"Iberlab & Imunoreage - Soluções Para Laboratórios, Lda",iberlab & imunoreage - soluções para laboratórios,0.43
Iberlim - Sociedade Técnica de Limpezas S.A,iberlim - sociedade técnica de limpezas,0.43
"Ibermatica, S. A.",ibermatica,0.41
"Ibermódulo - Aluguer de Módulos e Equipamentos, Lda",ibermódulo - aluguer de módulos e equipamentos,0.29
"Iberogal-Gestão, Informática e Serviços, Lda","iberogal-gestão, informática e serviços",0.40
"Iberoprofit, Lda",iberoprofit,0.28
"Ibersurgical, S. L.",ibersurgical,0.52
"Ibervoxel, Equipamentos Médicos e de Laboratório, Unipessoal...","ibervoxel, equipamentos médicos e de laboratório, unipessoal",0.25
"Iberíssimo, Lda",iberíssimo,0.20
"Ibios Fabrico de Detergentes, Lda",ibios fabrico de detergentes,0.26
"IBM Global Services España, S. A.",ibm global services españa,0.33
Ибрагимов Эльнур Ислам Оглы,ibragimov эlьnur islam oglы,0.23
"ООО ИЦ ""УГНТУ""",ic ugntu,0.23
Ica - Indústria e Comércio Alimentar S.A,ica - indústria e comércio alimentar,0.23
Icelandair,icelandair,0.35
"Icognitus4All - It Solutions, Lda",icognitus4all - it solutions,0.21
"Icon Medical - Comércio de Produtos Farmacêuticos, Médicos e...","icon medical - comércio de produtos farmacêuticos, médicos e",0.36
"Icrprotek - Equipamentos de Proteção, Unipessoal Lda","icrprotek - equipamentos de proteção, unipessoal",0.41
ICS IDEA MODA SRL,ics idea moda,0.23
ICU MEDICAL PRODUCTOS FARMACEUTICOS SLU,icu medical productos farmaceuticos slu,0.27
ICU UK Medical Ltd,icu uk medical ltd,0.46
"UAB ""Idant""",idant,0.35
"Ideabonitex, Lda",ideabonitex,0.63
"ООО ""ИДЕАЛ""",ideal,0.50
Ideal Medical Solutions Ltd,ideal medical solutions ltd,0.31
Idealmente - Criação e Comercialização de Artes Gráficas Lda...,idealmente - criação e comercialização de artes gráficas,0.29
"Idealsafe, Lda",idealsafe,0.22
Ideiapack - Comércio de Embalagens Lda,ideiapack - comércio de embalagens,0.33
"Ideias & Papel, Unipessoal Lda","ideias & papel, unipessoal",0.40
"Ideias Aritméticas - Publicidade, Unipessoal Lda","ideias aritméticas - publicidade, unipessoal",0.63
"Ideias Com Pernas, Lda",ideias com pernas,0.43
Ideias Com Saída Lda,ideias com saída,0.73
Ideias Comuns Lda,ideias comuns,0.76
"Ideias e Criações - Publicidade Em Têxteis, Lda",ideias e criações - publicidade em têxteis,0.33
Ideias Fascinantes Lda,ideias fascinantes,0.50
Ideias Intensas - Unipessoal Lda,ideias intensas - unipessoal,0.52
Ideias Lúcidas - Unipessoal Lda,ideias lúcidas - unipessoal,0.84
"Ideias Sucessivas - Publicidade, Marketing e Comunicação, Ld...","ideias sucessivas - publicidade, marketing e comunicação, ld",0.44
Ideiasdaqui Unipessoal Lda,ideiasdaqui unipessoal,0.37
"ООО ""ИДМ""",idm,0.16
IDM Médical,idm médical,0.43
IDS srl,ids,0.29
IDVET,idvet,0.50
"Idw - Consultoria Em Serviços de Informação, Lda",idw - consultoria em serviços de informação,0.13
Иевлева Ольга Вячеславовна,ievleva olьga vяčeslavovna,0.20
If Executives - Edições e Formação S.A,if executives - edições e formação,0.23
IFG GmbH,ifg,0.11
Ifix Lda,ifix,0.57
iFLOW GmbH,iflow,0.44
IGNACIO ALVAREZ PEREDA,ignacio alvarez pereda,0.15
"UAB ""Ignasta""",ignasta,0.34
Игнаткин Александр Викторович,ignatkin aleksandr viktorovič,0.33
"ООО ""ИГНИС""",ignis,0.29
Igor Bujdoš SMB,igor bujdoš smb,0.30
"Igpsprotek, Lda",igpsprotek,0.24
"ООО ""ИГРЕКС""",igreks,0.63
Igual e Completo - Unipessoal Lda,igual e completo - unipessoal,0.23
"Iguarias da Praia do Moinho, Unipessoal Lda","iguarias da praia do moinho, unipessoal",0.59
"Ihealth, Lda",ihealth,0.22
"ООО ""ИК РТС""",ik rts,0.31
Ikea Portugal - Móveis e Decoração Lda,ikea portugal - móveis e decoração,0.30
IKEM,ikem,0.21
"UAB ""Iksados"" gamybinis ir techninis centras",iksados gamybinis ir techninis centras,0.14
ИКСАНОВ МАРАТ РАИСОВИЧ,iksanov marat raisovič,0.30
Ilasco Ltd,ilasco ltd,0.25
"Ilc Serviços - Manutenção, Assistência e Controlo de Equipam...","ilc serviços - manutenção, assistência e controlo de equipam",0.23
Ilda & Miguel Lda,ilda & miguel,0.16
Ilfa Tekstil doo,ilfa tekstil,0.48
ILICO Europe s.r.o.,ilico europe,0.25
Илларионов Александр Геннадьевич,illarionov aleksandr gennadьevič,0.23
"Illes Uniforms, S. L.",illes uniforms,0.35
"ООО ""ИЛЛИ""",illi,0.44
"Ilm - Comunicação e Marketing, Unipessoal Lda","ilm - comunicação e marketing, unipessoal",0.13
"ООО ""ИЛС""",ils,0.14
UAB „Ilsanta“,ilsanta,0.60
"UAB ""ILSANTA""",ilsanta,1.00
ИЛТУБАЕВ АНДРЕЙ ВАЛЕНТИНОВИЧ,iltubaev andreй valentinovič,0.29
ИЛТУБАЕВ СТАНИСЛАВ ВАЛЕНТИНОВИЧ,iltubaev stanislav valentinovič,0.81
Iluminho - Instalações Eléctricas Lda,iluminho - instalações eléctricas,0.38
"Ilunion Contact Center, S. A.",ilunion contact center,0.40
Ilustrepágina Unipessoal Lda,ilustrepágina unipessoal,0.26
Ilídio Fragoso & Filhos Lda,ilídio fragoso & filhos,0.30
Ильин Андрей Геннадьевич,ilьin andreй gennadьevič,0.30
"ООО ""ИЛЬЯ МЕД""",ilья med,0.38
Ильягуева Оксана Владимировна,ilьяgueva oksana vladimirovna,0.32
Ильясова Татьяна Владимировна,ilьяsova tatьяna vladimirovna,0.79
Илясов Валерий Сергеевич,ilяsov valeriй sergeevič,0.42
Илявин Сергей Владимирович,ilяvin sergeй vladimirovič,0.56
Imabrinde Lda,imabrinde,0.23
Image Wear Oy,image wear oy,0.36
"Imagens Soltas - Meios Publicitários, Lda",imagens soltas - meios publicitários,0.29
"Imagens Vibrantes, Unipessoal Lda","imagens vibrantes, unipessoal",0.37
IMAGRO SPA,imagro spa,0.36
ИМАМУТДИНОВА РАУШАНИЯ НУРИХАНОВНА,imamutdinova raušaniя nurihanovna,0.23
IMATEX D.O.O.,imatex,0.21
IMEJ DEPOSITO DENTAL SLL,imej deposito dental sll,0.20
"Imh - Instalações Eléctricas, Lda",imh - instalações eléctricas,0.38
"iMi Partner, a.s.",imi partner,0.26
"Imlitex Textile, UAB","imlitex textile, uab",0.32
Immed Europe,immed europe,0.38
Imo-Industrias Metalurgicas S.A,imo-industrias metalurgicas,0.31
"Imoangra II, S.A",imoangra ii,0.32
Imogena Jan Niechwiadowicz,imogena jan niechwiadowicz,0.43
Impact Call Centre Ltd,impact call centre ltd,0.25
Imperial Polythene Products Ltd,imperial polythene products ltd,0.49
"ООО ""ИМПЕРИЯ""",imperiя,0.32
"ООО ""ИМПЕРИЯ КАЧЕСТВА""",imperiя kačestva,0.61
"Impertâmega, L.da",impertâmega,0.52
Implan TEC GmbH,implan tec,0.38
"Imporquímica - Indústria Portuguesa de Produção Química, S.A...",imporquímica - indústria portuguesa de produção química,0.12
"Import+ - Representações e Comercio Internacional , Unipesso...","import+ - representações e comercio internacional , unipesso",0.30
Importfashion - Importação e Exportação Lda,importfashion - importação e exportação,0.32
Impower Consulting Ltd,impower consulting ltd,0.33
Imprensa Nacional - Casa da Moeda S.A,imprensa nacional - casa da moeda,0.33
"ООО ""ИМПРЕСА""",impresa,0.35
"Impresa Publishing, S.A",impresa publishing,0.56
Impresa-Sociedade Gestora de Participações Sociais S.A,impresa-sociedade gestora de participações sociais,0.32
"ООО ""ИМПУЛЬС""",impulьs,0.14
"ООО ""ИМПЭКС""",impэks,0.62
IMSTec GmbH,imstec,0.50
IMSTec GMBH,imstec,1.00
"ООО ""ИМТЕХ""",imteh,0.73
Imunotehnomed SRL,imunotehnomed,0.56
"In Safe Hands, Unipessoal Lda","in safe hands, unipessoal",0.26
In-Circuit,in-circuit,0.17
In-Visio,in-visio,0.56
Inacilux - Reclamos Luminosos Lda,inacilux - reclamos luminosos,0.22
INBIRO Consult s.r.o.,inbiro consult,0.37
"Incentea-Tecnologia de Gestão, S.A",incentea-tecnologia de gestão,0.23
Inclusion Housing CIC Ltd,inclusion housing cic ltd,0.22
Incograf Lda,incograf,0.30
"Incomedicura Personal Care, Unipessoal Lda","incomedicura personal care, unipessoal",0.26
Incotrans - Transitários Lda,incotrans - transitários,0.29
"Incredible Luck, Sociedade Unipessoal Lda","incredible luck, sociedade unipessoal",0.20
Incutech GmbH,incutech,0.22
Indice - Pinturas Publicitarias Lda,indice - pinturas publicitarias,0.26
INDO Lighting Ltd,indo lighting ltd,0.33
"Indra Soluciones Tecnologías de la Información, S. L. U.","indra soluciones tecnologías de la información, s. l. u",0.28
"Indra Soluciones — Tecnologías de la Información, S. L. U.","indra soluciones tecnologías de la información, s. l. u",0.98
"Inducorte - Indústria de Cortantes, Limitada","inducorte - indústria de cortantes, limitada",0.42
Induma-Maquinas Industriais Lda,induma-maquinas industriais,0.42
"Indumel - Embalagens, Unipessoal Lda","indumel - embalagens, unipessoal",0.27
"Induquimica - Produtos Para Artes Gráficas, Unipessoal Lda","induquimica - produtos para artes gráficas, unipessoal",0.56
Induslubre-Representações Lda,induslubre-representações,0.33
Industria Farmaceutica Nova Argentia S.p.a.,industria farmaceutica nova argentia s.p.a,0.42
"Industrial Laborum Ibérica, S.A",industrial laborum ibérica,0.47
Industrial packaging solutions,industrial packaging solutions,0.50
"Industrias La Tuna, S. L.",industrias la tuna,0.54
"Industrias Murtra, S. A.",industrias murtra,0.74
Industrilar-Sociedade Industrial de Produtos Para O Lar Lda,industrilar-sociedade industrial de produtos para o lar,0.36
"ООО ""ИНДУСТРИЯ ЧИСТОТЫ""",industriя čistotы,0.39
Inedit Clean Total,inedit clean total,0.46
INEDIT CLEAN TOTAL,inedit clean total,1.00
INEL- medicinska tehnika d.o.o.,inel- medicinska tehnika,0.48
"INEL-BH"" DRUŠTVO ZA PROMET  MEDICINSKOM OPREMOM I  POTROŠNIM MATERIJALOM",inel-bh društvo za promet  medicinskom opremom i  potrošnim materijalom,0.42
"""INEL-BH"" DRUŠTVO ZA PROMET  MEDICINSKOM OPREMOM I  POTROŠNIM MATERIJALOM",inel-bh društvo za promet  medicinskom opremom i  potrošnim materijalom,1.00
INES MULLIEZ CORELLA SA,ines mulliez corella,0.24
"Inex Česká republika, s.r.o.",inex česká republika,0.50
INEXPORT s.r.o.,inexport,0.36
"Infaimon, Unipessoal Lda","infaimon, unipessoal",0.21
Infervision Europe GmbH,infervision europe,0.53
"Infiniti Portugal - Importação / Exportação, Unipessoal Lda...","infiniti portugal - importação / exportação, unipessoal",0.27
"Infinity Dream, Lda",infinity dream,0.32
Infinity Incorporated t/a Creative Emporium,infinity incorporated t/a creative emporium,0.49
"Influencia Social, Unipessoal Lda","influencia social, unipessoal",0.28
Influentelimite - Unipessoal Lda,influentelimite - unipessoal,0.67
"UAB ""Info S""",info s,0.24
Infogene Lda,infogene,0.57
"ООО ""ИНФОМЕД""",infomed,0.67
INFONET SERVICE SRL.,infonet service,0.45
"Inforabreu, Lda",inforabreu,0.48
Infordelta-Equipamentos e Soluções Informaticas Lda,infordelta-equipamentos e soluções informaticas,0.25
"Inforlandia, S.A",inforlandia,0.34
"Informantem - Informática e Manutenção, S.A",informantem - informática e manutenção,0.37
Informarte-Informação Regional S.A,informarte-informação regional,0.59
"Informondim, Lda",informondim,0.39
Informática El Corte Inglês,informática el corte inglês,0.37
"Informática El Corte Inglés, S. A.",informática el corte inglês,1.00
"Informática y Comunicaciones Avanzadas, S.L.",informática y comunicaciones avanzadas,0.52
"Inforpacto-Informatica e Serviços, Lda",inforpacto-informatica e serviços,0.39
"Inforpereira, Soluções Informáticas Lda","inforpereira, soluções informáticas",0.56
Inforsabugal - Comercialização de Artigos Informáticos Lda...,inforsabugal - comercialização de artigos informáticos,0.56
Infortipo - Serviços de Publicidade Lda,infortipo - serviços de publicidade,0.43
"Inforzur-Material de Escritório Informático e Serviços, Lda...",inforzur-material de escritório informático e serviços,0.40
Ing. Aleš Závorka,ing. aleš závorka,0.23
Ing. Jaroslava Mudráková,ing. jaroslava mudráková,0.39
Ing. Pavlína Boučková,ing. pavlína boučková,0.62
Ing. Simona Sumegová,ing. simona sumegová,0.59
Ing. Slavka Kylarová,ing. slavka kylarová,0.55
Ing. Sumetzberger GmbH.,ing. sumetzberger,0.38
Ing. Štěpán Matoušek,ing. štěpán matoušek,0.38
Ing.Petr Trávník,ing.petr trávník,0.39
ingenetix GmbH,ingenetix,0.40
INGENIERÍA DE SANITIZACIÓN Y CONSERVACIÓN SA,ingeniería de sanitización y conservación,0.32
Ingo Wiegmann Brandschutz & Smartphone,ingo wiegmann brandschutz & smartphone,0.33
Ingrenor - Trading e Representações Lda,ingrenor - trading e representações,0.30
Inhealthcare Ltd,inhealthcare ltd,0.27
"ООО ""ИНИЦИАТИВА""",iniciativa,0.38
Iniciativas de Meios-Actividades Publicitárias Lda,iniciativas de meios-actividades publicitárias,0.36
"Inilab, S. L.",inilab,0.19
"init Aktiengesellschaft für digitale Kommunikation, 10997 Berlin","init aktiengesellschaft für digitale kommunikation, 10997 berlin",0.14
Initia Ventures Ltd,initia ventures ltd,0.29
Inivos Ltd,inivos ltd,0.62
"ООО ""ИНЛАЙН ТРЕЙДИНГ""",inlaйn treйding,0.40
"ООО ""ИНМЕД""",inmed,0.40
"ООО "" ИНМЕД""""",inmed,1.00
"Innocent Store, s.r.o.",innocent store,0.32
Innocent Store s.r.o.,innocent store,1.00
"ООО ""ИННОМЕД""",innomed,0.48
Innova Care Concepts,innova care concepts,0.37
"ООО ""ИННОВАЦИИ В МЕДИЦИНЕ""",innovacii v medicine,0.45
"ООО ""ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ-ПЕНЗА""",innovacionnыe tehnologii-penza,0.40
"Innovation for Shelter, S. L.",innovation for shelter,0.46
Innovative Diagnostics Vertriebs GmbH,innovative diagnostics vertriebs,0.44
"Inocentro - Inovações E Representações, Lda",inocentro - inovações e representações,0.37
"Inok Consulting, S.A",inok consulting,0.23
"Inokem, S.A",inokem,0.38
Inomed Health Ltd,inomed health ltd,0.35
Inova - Instituto De Inovação Tecnológica Dos Açores,inova - instituto de inovação tecnológica dos açores,0.20
"Inovadisplay, Lda",inovadisplay,0.28
Inovasis - Inovação e Sistemas de Informação Lda,inovasis - inovação e sistemas de informação,0.29
"INOVATIO, prodaja elektronskih in telekomunikacijskih naprav d.o.o.","inovatio, prodaja elektronskih in telekomunikacijskih naprav",0.33
"Inovatio, prodaja elektronskih in telekomunikacijskih naprav d.o.o.","inovatio, prodaja elektronskih in telekomunikacijskih naprav",1.00
"Inovwear Portugal, Lda",inovwear portugal,0.31
"Inpos, tehnična trgovina na debelo in drobno, d.o.o., Celje","inpos, tehnična trgovina na debelo in drobno, d.o.o., celje",0.18
"ООО ""ИНПРОФИ""",inprofi,0.15
Inpulsar - Associação Para O Desenvolvimento Comunitário,inpulsar - associação para o desenvolvimento comunitário,0.19
"INSANEX, INSTRUNET HOSPITAL SLU","insanex, instrunet hospital slu",0.25
"ООО ""ИНСАЙТ+""",insaйt+,0.26
"ООО ""ИНСАЙТ-СЕРВИС""",insaйt-servis,0.60
"Insco, S.A",insco,0.33
Insia - Sistemas de Informação Lda,insia - sistemas de informação,0.23
Inside Building - Engenharia e Certificação Energética Em Ed...,inside building - engenharia e certificação energética em ed,0.31
Inside Home Lda,inside home,0.31
INSIGHT DIRECT (UK) LTD,insight direct (uk) ltd,0.35
Insitumed GmbH,insitumed,0.44
"InSpe, IĮ","inspe, iį",0.44
Inspiration Healthcare Group,inspiration healthcare group,0.27
Inspiration Healthcare Group plc,inspiration healthcare group plc,0.93
Inspiração Arrojada Unipessoal Lda,inspiração arrojada unipessoal,0.52
"Instaclean, Lda",instaclean,0.25
Instalminho - Canalizações e Instalações Eléctricas Lda,instalminho - canalizações e instalações eléctricas,0.26
Instalplus - Sistemas de Comunicação Informática Lda,instalplus - sistemas de comunicação informática,0.42
"ООО ""ИНСТАЙЛ""",instaйl,0.22
"Instituto Criap - Psicologia e Formação Avançada, Lda",instituto criap - psicologia e formação avançada,0.22
Instituto Politécnico de Leiria,instituto politécnico de leiria,0.48
Instituto Politécnico Do Porto,instituto politécnico do porto,0.82
"Instituto Português do Sangue e da Transplantação, I. P.","instituto português do sangue e da transplantação, i. p",0.45
Instruel - Sistemas de Controlo de Processos Industriais Lda,instruel - sistemas de controlo de processos industriais,0.31
INSTRUNET HOSPITAL SLU,instrunet hospital,0.38
Instrunet Hospital S.L.U.,instrunet hospital,1.00
"Instrutex - Engenharia e Serviços, Lda",instrutex - engenharia e serviços,0.43
"Insular - Fardas, Têxtil e Segurança No Trabalho, Unipessoal...","insular - fardas, têxtil e segurança no trabalho, unipessoal",0.41
Insularpharma - Comércio de Produtos Químico-Farmacêuticos d...,insularpharma - comércio de produtos químico-farmacêuticos d,0.32
Int Air Médical,int air médical,0.27
INTCO Medical Co. Ltd.,intco medical,0.71
"ООО ""ИНТЕГРА""",integra,0.50
INTEGRA Biosciences Limited,integra biosciences ltd,0.41
INTEGRA Biosciences Ltd,integra biosciences ltd,0.92
"ООО ""ИНТЕГРА-СЕРВИС""",integra-servis,0.54
"ООО ""ИНТЕГРАЛ""",integral,0.64
Integral - Serviços Integrais de Segurança Lda,integral - serviços integrais de segurança,0.32
"Integrity, S.A",integrity,0.31
"ООО ""ИНТЕХ""",inteh,0.57
"ООО ""ИНТЕХ-ВОЛГА""",inteh-volga,0.63
"ООО ""ИНТЕК""",intek,0.50
"ООО ""ИНТЕЛЛЕКТ-СЕРВИС""",intellekt-servis,0.48
Intelligent Tech SRL,intelligent tech,0.44
"ООО ""ИНТЕЛМЕД""",intelmed,0.50
"ООО ""ИНТЕРМЕДТЕХ""",intelmedteh,0.84
"ООО ""ИНТЕЛМЕДТЕХ""",intelmedteh,1.00
Intelsol s.r.o.,intelsol,0.53
"Inter Condeixa - Supermercados, Lda",inter condeixa - supermercados,0.26
"Inter São Brás de Alportel-Supermercados, Lda",inter são brás de alportel-supermercados,0.69
"ООО ""ИНТЕРБИОМЕД""",interbiomed,0.39
INTERCARE s.r.o.,intercare,0.60
"Intercept Pharma Portugal, Unipessoal Lda","intercept pharma portugal, unipessoal",0.39
Interchemie Werken De Adelaar Eesti aktsiaselts,interchemie werken de adelaar eesti aktsiaselts,0.33
Intercourier Lda,intercourier,0.31
"INTEREXPORT mednarodna trgovina, d.o.o.",interexport mednarodna trgovina,0.33
Interface-Equipamento e Tecnica Lda,interface-equipamento e tecnica,0.48
Interfire Lda,interfire,0.40
Intergraph (Portugal)-Sistemas de Computação Grafica S.A,intergraph (portugal)-sistemas de computação grafica,0.23
