Original name of the product,Product category,amount,unit price,currency,price including taxes,tax rate (%),country,date,source,tender ref,note,description_EN
Коронавірус-тест АТ -МБА Covid-19,,,300.00,UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-001050-b,UA1379,,
"Поштові послуги з доставки та виплати відповідно до Порядку одноразової грошової допомоги у зв’язку з негативними наслідками поширення на території України гострої респіраторної хвороби COVID-19, спричиненої коронавірусом у сумі 1000,00 грн. окремим категоріям населення, затвердженого постановою Кабінету Міністрів України від 01.04.2020 р. № 251 (64110000-0)",,,"2,852.00",UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-000750-b,UA1380,,
Засоби для боротьби з COVID -19 . Оприскувач аккумуляторний,,,800.00,UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-000719-c,UA1381,,
Засоби для боротьби з COVID-19. Окуляри захистні,,,170.00,UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-000515-c,UA1382,,
"ДК 021:2015 33124100-6 Діагностичні прилади, (Код згідно з УКТЗЕД 3822000000 Швидкі (експрес) тести для діагностики коронавірусної хвороби (COVID-19), АТ-Коронавірус-тест МБА - Експрес - тести для діагностики коронавірусу COVID-19",,,450.00,UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-000352-b,UA1383,,
"Офтальмологічні вироби та коригувальні лінзи за кодом ДК 021:2015 33730000-6 (товари необхідні для виконання заходів, спрямованих для запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19))",,,64.92,UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-000311-a,UA1384,,
"Одноразові рукавички нітрилові, нестерильні, неопудрені, необхідні для здійснення заходів, спрямованих на запобігання виникненню та поширенню, локалізації та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) на території Устилузької обєднаної територіальної громади",,,2.50,UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-000165-a,UA1385,,
Дезінфікуючі засоби для боротьби з COVID -19,,,418.48,UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-000161-c,UA1386,,
"Поштові послуги з доставки та виплати відповідно до Порядку одноразової грошової допомоги у зв’язку з негативними наслідками поширення на території України гострої респіраторної хвороби COVID-19, спричиненої коронавірусом у сумі 1000,00 грн. окремим категоріям населення, затвердженого постановою Кабінету Міністрів України від 01.04.2020 р. № 251 (64110000-0)",,,"2,852.00",UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-15-000134-b,UA1387,,
"Послуги з транспортного спецмедобслуговування (організація перевезення пацієнтів, хворих на COVID-19 та медичних працівників)",,,"292,163.30",UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-005961-b,UA1388,,
"ДК 021:2015 - 33190000-8 Медичне обладнання та вироби медичного призначення різні(Щиток захисний для обличчя 40 шт.)""для виконання заходів, спрямованих на запобігання виникнення та поширення, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID – 19). за кошти районного бюджету",,,40.00,UAH,,,Ukraine,2020-04-16,https://prozorro.gov.ua/tender/UA-2020-04-14-005959-b,UA1389,,
"ДК 021:2015 38410000 - 2 «Лічильні прилади""(Термометри 20 шт.)для виконання заходів, спрямованих на запобігання виникнення та поширення, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID – 19). за кошти районного бюджету",,,"1,740.00",UAH,,,Ukraine,2020-04-16,https://prozorro.gov.ua/tender/UA-2020-04-14-005955-b,UA1390,,
"ДК 021:2015-33920000-5 ""Обладнання та приладдя для розтину(санітарні пакети 10 шт)""для виконання заходів, спрямованих на запобігання виникнення та поширення, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID – 19). за кошти районного бюджету",,,210.00,UAH,,,Ukraine,2020-04-17,https://prozorro.gov.ua/tender/UA-2020-04-14-005943-b,UA1391,,
Лікарські засоби для лікування хвороб дихальної системи для подолання епідемії COVID-2019,,,49.39,UAH,,,Ukraine,2020-04-15,https://prozorro.gov.ua/tender/UA-2020-04-14-003322-a,UA1392,,
Експрес-тести на COVID-19,,,"6,580.50",UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-003130-a,UA1393,,
60140000-1 Нерегулярні пасажирські перевезення (організація перевезення пацієнтів з COVID-19 та медичних працівників),,,"551,161.00",UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-003116-a,UA1394,,
Респіратори для запобігання поширенню COVID-19,,,250.00,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-003099-a,UA1395,,
Спиртовмісний антисептик для рук кишеньковий для запобігання поширенню COVID-19,,,129.00,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-002681-a,UA1396,,
Швидкі тести на антитіла до COVID-19 КОД ДК 021:2015 : 33120000-7 - Системи реєстрації медичної інформації та дослідне обладнання,,,295.56,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-002680-a,UA1397,,
"ДК 021:2015 - 33140000-3 «Медичні матеріали» ( НК 024:2019 – 40548 Хірургічна рукавичка, латексна); код згідно з УКТЗЕД 4015 20 00 00 (COVID-19) хірургічні рукавички",,,4.20,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-002588-b,UA1398,,
Швидкий тест на IgG/IgM до вірусу COVID-2019,,,360.00,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-002187-a,UA1399,,
Шапочки захисні (Covid-19),,,123.89,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-002149-b,UA1400,,
60140000-1 Нерегулярні пасажирські перевезення (організація перевезення пацієнтів з COVID-19 та медичних працівників),,,"626,370.68",UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-001973-a,UA1401,,
"33120000-7 Системи реєстрації медичної інформації та дослідне обладнання. Швидкий тест на IgG/IgM до вірусу COVID-19, касета (цільна кров/сироватка/плазма)",,,360.00,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-001721-b,UA1402,,
"Засоби для боротьби з Covid-19, Медичне обладнання та вироби медичного призначення різні",,,60.00,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-001336-c,UA1403,,
"Послуги з розклеювання інформаційних матеріалів, в рамках здійснення заходів, спрямованих на запобігання виникненню та поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) на території України",,,738.00,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-001255-b,UA1404,,
"Комплект одягу захисного ( 61938-Набір одягу хірургічний/оглядовий) Предметом закупівлі є товари, необхідні для виконання заходів, спрямованих на запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби(COVID-19)",,,361.30,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-001202-c,UA1405,,
"Медичне обладнання для закладів охорони здоров’я, що надають допомогу хворим на COVID-19",,,"82,000.00",UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-001149-a,UA1406,,
"COVID19 1s/wb/p АТ-Коронавірус-тестМБФ, ДК 021:2015: 33120000-7 Системи реєстрації медичної інформації та дослідне обладнання",,,443.25,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-000878-b,UA1407,,
"Безконтактний медичний інфрачервоний термометр НК 024:2019: 17888 — Інфрачервоний термометр пацієнта, шкірний ) Предметом закупівлі є товари, необхідні для виконання заходів, спрямованих на запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) (Місцевий бюджет))",,,"2,500.00",UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-000821-b,UA1408,,
Халати захисні (Covid-19),,,48.60,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-000816-c,UA1409,,
Системи реєстрації медичної інформації та дослідне обладнання ( Швидкі тести для діагностики короновірусної хвороби VivaDiag COVID - 19 IgM),,,348.82,UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-000324-c,UA1410,,
Медичні матеріали для лікування хворих на COVID-2019,,,"5,668.68",UAH,,,Ukraine,2020-04-14,https://prozorro.gov.ua/tender/UA-2020-04-14-000314-b,UA1411,,
ДК 021:2015:33140000-3 Медичні матеріали (Маски медичні на зав’язках «MEDICARE» (код згідно УКТЗЕД:6307 90 98 00) (закупівля для запобігання пандемії COVID-19),,,10.50,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-004598-b,UA1412,,
"ДК 021:2015:33190000-8 Медичне обладнання та вироби медичного призначення різні (Комплект для мазків (з пластиковою паличкою) стерильний «Labexpert» (код згідно УКТЗЕД: 3923, 3926, 7010) (НК 024:2019:61164) (закупівля для запобігання пандемії COVID-19)",,,8.00,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-004558-b,UA1413,,
"Товари необхідні для виконання заходів, спрямованих для запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) (респіратори)",,,725.00,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-004329-b,UA1414,,
ДК – 021:2015 –33190000-8 «Медичне обладнання та вироби медичного призначення різні» (НК 024:2019-18094 Лицева маска для захисту дихальних шляхів); код згідно з УКТЗЕД 6307 90 98 00 (COVID-19) - медична маска,,,50.00,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-004021-b,UA1415,,
Апарат штучної вентиляції легень (COVID-19),,,"1,079,993.80",UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-003494-b,UA1416,,
"Медичні вироби необхідні для здіснення заходів, спрямованих на запобігання виникненню та поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій короновірусної хвороби (COVID-19) Трубка ендотрахеальна ""Волес "" з манжетою, стерильна ,",,,27.82,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-003472-b,UA1417,,
Страхові послуги (послуги добровільного страхування здоров’я на випадок хвороби (інфікування вірусом COVID 19 (коронавірус))),,,210.38,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-003203-b,UA1418,,
"Системи реєстрації медичної інформації та дослідне обладнання ((код ДК 021:2015 - 33120000-7), код НК 024:2019 – 50298/Коронавірус (SARS-CoV), антитіла класу імуноглобулін A (IgA) / IgG/ M (IgM) IVD, набір, імунохроматографічний, експрес-аналіз), Швидкий тест на коронавірус COVID-2019)",,,320.00,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-001751-b,UA1419,,
"Антисептичні та дезінфекційні засоби для дезинфекції рук, шкіри та приладів у тарі 5 літрів (COVID-2019)",,,"2,300.00",UAH,,,Ukraine,2020-04-16,https://prozorro.gov.ua/tender/UA-2020-04-13-001748-a,UA1420,,
"Придбання товару , необхідного для заходів, спрямованих на запобігання винекненню та поширенню , локалізацію та ліквідацію спалахів , епідемії та пандемії коронавірусної хвороби (COVID-19) на тереторії України- акамуляторний оприскувач Foresta BS-16M",,,"1,650.00",UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-001339-c,UA1421,,
Швидкий тест на IgG/IgMдо вірусу COVID-19,,,360.00,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-000952-b,UA1422,,
Засоби дезінфекційні (Covid-19),,,237.43,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-000790-a,UA1423,,
"Товари необхідні для виконання заходів, спрямованих для запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19))»",,,492.00,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-000788-a,UA1424,,
"послуги автобуса ЧАС реєстраційний номер ВМ 47-22 АА для перевезення медичного та іншого персоналу, задіяного до заходів протидії поширенню на території України гострої респіраторної хвороби COVID-19, спричиненої коронавірусом SARS CoV-2, до робочих місць",,,"60,000.00",UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-000712-c,UA1425,,
"Окуляри захисні, (НК 024:2019: код 11961 -Захисний екран для обличчя)предметом закупівлі є товари, необхідні для виконання заходів, спрямованих на запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) (Місцевий бюджет)",,,18.90,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-000686-b,UA1426,,
Респіратори та окуляри захисні (COVID-19),,,381.00,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-000293-c,UA1427,,
"Медикаменти для МКЛ №1.
Закупівля для запобігання пандемії COVID-19",,,192.84,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-000240-a,UA1428,,
Маски багаторазові (COVID-19),,,17.00,UAH,,,Ukraine,2020-04-13,https://prozorro.gov.ua/tender/UA-2020-04-13-000033-c,UA1429,,
"ДК 021:2015: 33150000-6 — Апаратура для радіотерапії, механотерапії, електротерапії та фізичної терапії (НК 024:2019: 12873 — Стаціонарний концентратор кисню) (кисневий концентрат) (COVID-19)",,,"205,000.00",UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-003975-b,UA1430,,
"""Офтальмологічні вироби та коригування лінзи"" за кодом ДК 021:2015 - 33730000-6 (Товари необхідні для виконання заходів, спрямованих для запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій короно вірусної хвороби (COVID-19) (Окуляри захістні))",,,49.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-003702-b,UA1431,,
"Послуги спеціалізованих автомобільних перевезень пасажирів (Нерегулярні пасажирські перевезення (доставка діагностичного матеріалу в лабораторію з метою підтвердження діагнозу COVID-19 та медичних працівників, консультантів, пацієнтів).",,,230.19,UAH,,,Ukraine,2020-04-16,https://prozorro.gov.ua/tender/UA-2020-04-10-002409-a,UA1432,,
"Швидкий тест на IgG/IgM до вірусу COVID-19, касета (цільна кров/сироватка/плазма)",,,320.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-002134-a,UA1433,,
"Медичне обладнання для закладів охорони здоров'я, що надають допомогу пацієнтам, хворим на COVID-19: Пульсоксиметр (УКТЗЕД 9018) Пульсоксиметр напалечний MD300C1 (за програмою ""Багатопрофільна стаціонарна медична допомога населенню"")",,,"1,100.00",UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001830-a,UA1434,,
"Труни дерев’яні для забезпечення проведення ритуалу поховання померлих від гострої респіраторної хвороби COVID-19, спричиненої коронавірусом SARS-CoV-2, а саме: одиноких осіб та осіб, від поховання яких відмовились родичі",,,"1,500.00",UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001796-b,UA1435,,
"Лікарські засоби для надання медичної допомоги пацієнтам, хворим на COVID-19: Suxamethonium (УКТЗЕД 3004) Дитилин амп 2% 5мл №10 (МНН Suxamethonium) (за програмою ""Багатопрофільна стаціонарна медична допомога населенню"")",,,109.67,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001750-a,UA1436,,
"Агрохімічна продукція (Хлорантин актив(300таб.) 1 кг., хлорвмісний препарат для дезинфекції поверхонь, матеріалів, обладнання для локалізації і поширення короновірусної хвороби COVID-19 код УКТЗЕД 3808). Джерело фінансування закупівлі: Державний бюджет України",,,420.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001687-a,UA1437,,
"Агрохімічна продукція (Дезанол1л., дезінфікуючий засіб для поверхонь у приміщеннях для локалізації і поширення короновірусної хвороби
 COVID-19 код УКТЗЕД 3808). Джерело фінансування закупівлі: Державний бюджет України",,,540.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001576-a,UA1438,,
"Агрохімічна продукція (Біонол Сілфур С 1л., дезінфікуючий засіб для обробки рук і шкіри для локалізації і поширення короновірусної хвороби
 COVID-19 код УКТЗЕД 3808). Джерело фінансування закупівлі: Державний бюджет України",,,540.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001501-a,UA1439,,
тест швидкий (експрес) для діагностики короновірусної хвороби (COVID 19),,,254.13,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001463-c,UA1440,,
"""Основні органічні хімічні речовини"" за кодом ДК 021-2015: 24320000-3 (Товари необхідні для виконання заходів, спрямованих для запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19))",,,175.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001355-c,UA1441,,
"Чоботи гумові предметом закупівлі є товари, необхідні для виконання заходів, спрямованих на запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) (місцевий бюджет)",,,108.90,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-001139-c,UA1442,,
Нетканий комбінезо ( товар для запобігання винекнення та поширення коронавірусної хвороби COVID-19),,,360.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-000938-a,UA1443,,
"Послуги з дезінфікування та дератизування міських і сільських територій - за кодом CPV за ДК 021:2015 - 90670000-4 (Послуги з профілактичної дезінфекції знезаражуючими реагентами доріг, пішохідних переходів, зупинок громадського транспорту, тротуарів, скверів та інших місць загального користування, для запобігання пандемії COVID-19)",,,"64,980.00",UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-000683-a,UA1444,,
"проведення компютерної томографії органів грудної клітки хворих з підозрою на COVID-19, що підлягають стаціонарному лікуванню",,,850.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-000538-c,UA1445,,
Засоби індивідуального захисту - маски медичні (Covid-19),,,15.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-000342-b,UA1446,,
Медичні матеріали (Covid-19),,,20.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-000323-a,UA1447,,
"Медичне обладнання: Відсмоктувач хірургічний (для здійснення заходів, спрямованих на запобігання виникненню та поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) на території України)",,,"8,600.00",UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-000169-b,UA1448,,
"ДК 021:2015: 35110000-8 Протипожежне, рятувальне та захисне обладнання (засоби індивідуального захисту населення,необхідні для здійснення заходів, спрямованих на запобігання виникненню та поширенню, локалізації та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) на території Устилузької об'єднаної територіальної громади - маски захисні)",,,10.00,UAH,,,Ukraine,2020-04-10,https://prozorro.gov.ua/tender/UA-2020-04-10-000048-c,UA1449,,
"ДК 021:2015: 24450000-3 – Агрохімічна продукція (НК 024:2019: 38713 - Дезінфікуючі засоби, для хірургічних інструментів) (дезінфікуючий засіб для інструментів та обладнання) (COVID-19)",,,"1,044.00",UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-004126-b,UA1450,,
"ДК 021:2015: 24450000-3 – Агрохімічна продукція (НК 024:2019: 41550 - Дезінфікуючі засоби для рук) ) (засіб на спиртовій основі для протирання рук)
 (COVID-19)",,,495.45,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-004109-b,UA1451,,
"ДК 24450000-3 – Агрохімічна продукція (НК 024:2019: 47243 - Двоокис хлорид дезінфікувальний засіб) (Рідка речовина, яка містить діоксид хлору (ClO2))
(COVID-19)",,,504.00,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-004050-b,UA1452,,
"Надання послуг з нерегулярних пасажирських перевезень (організація перевезення медичних працівників), необхідних для здійснення заходів, спрямованих на запобігання виникненню та поширенню, локалізацію та ліквідацію спалахів , епідемій та пандемій короновірусної хвороби (COVID-19)",,,"168,714.00",UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-003549-b,UA1453,,
Фармацевтична продукція- лікарські засоби для лікування хворих на COVID-19,,,190.46,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-003536-b,UA1454,,
"Послуги з транспортного спецмедобслуговування (організація перевезення пацієнтів, хворих на COVID-19 та медичних працівників)",,,14.08,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-003412-b,UA1455,,
"Товари необхідні для виконання заходів, спрямованих для запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) - код ДК 021:2015 33730000-6 Офтальмологічні вироби та коригувальні лінзи",,,40.00,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-002810-b,UA1456,,
"Тест системи для грипу А,В (товари необхідні для здійснення заходів, спрямованих на запобігання виникненню та поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) на території України)",,,324.00,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-002554-b,UA1457,,
Костюм біологічного захисту від коронавірусу COVID-19,,,340.00,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-001766-a,UA1458,,
Апарат ШВЛ (COVID-19),,,"840,000.00",UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-001617-b,UA1459,,
Медичне обладнання та вироби медичного призначення різні (бактеріологічні пробірки для відбору матеріалу на вірусологічне дослідження на COVID – 19),,,7.90,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000687-b,UA1460,,
Швидкий тест на коронавірус COVID-19,,,320.00,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000653-c,UA1461,,
Тести на визначення COVID-19,,,250.00,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000539-c,UA1462,,
"Товари необхідні для виконання заходів, спрямованих для запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19) - рукавички медичні нітрилові",,,215.05,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000243-b,UA1463,,
"Onsite COVID-19 LgG/LgM Rapsd Test (цільна кров, сироватка або плазма людини) експрес-тест ""ОнСайт"" на виявлення коронавірусу",,,199.02,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000211-b,UA1464,,
"Нерегулярні пасажирські перевезення (організація перевезення пацієнтів з COVID-19 та медичних працівників) (доставка біоматеріалу з підозрою на COVID-19 до лабораторії для підтвердження або спростування результатів) (спеціалізоване транспортне обслуговування та забезпечення спеціалізованим автотранспортом закладів охорони здоров'я, що засновані на комунальній власності територіальної громади міста Києва)",,,230.21,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000197-a,UA1465,,
"ДК 021:2015 - 55520000-1 – Кейтерингові послуги (Надання послуг з постачання комплексних обідів для працівників, які залучені до надання медичної допомоги, обслуговування та охорони комунального некомерційного медичного підприємства у зв’язку з протидією коронавірусної хвороби (COVID-19))",,,"61,750.00",UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000130-b,UA1466,,
"Основні органічні хімічні речовини за кодом ДК 021:2015 24320000-3 (товари необхідні для виконання заходів, спрямованих для запобігання виникненню і поширенню, локалізацію та ліквідацію спалахів, епідемій та пандемій коронавірусної хвороби (COVID-19))",,,360.00,UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000098-b,UA1467,,
послуги добровільного страхування здоров'я на випадок хвороби (інфікування вірусом COVID 19),,,"18,800.00",UAH,,,Ukraine,2020-04-09,https://prozorro.gov.ua/tender/UA-2020-04-09-000055-c,UA1468,,
Експрес-тести для діагностики корона вірусу COVID-19,,,326.05,UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-002927-b,UA1469,,
ДК 021-2015: 60140000-1 - Нерегулярні пасажирські перевезення (Організація перевезення пацієнтів з COVID-19 та медичних працівників),,,"522,714.40",UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-002842-b,UA1470,,
"Безконтактні термометри, спрямовані на запобігання коронавірусній хворобі (COVID-19)",,,"4,000.00",UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-002746-b,UA1471,,
"Мішок респіраційний, спрямований на запобігання коронавірусній хворобі (COVID-19)",,,"3,500.00",UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-002600-b,UA1472,,
"Концентратори кисню, спрямовані на запобігання коронавірусній хворобі (COVID-19)",,,"19,980.00",UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-001886-a,UA1473,,
"Послуги із проживання та харчування, які залучаються до здійснення заходів з протидії поширенню гострої респіраторної хвороби COVID-19, спричиненої корона вірусом SARS-CoV-2, на території Миколаївської області або осіб, які потребують обсервації (ізоляції)",,,"929,412.00",UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-001770-b,UA1474,,
Послуги із санітарно-гігієнічної обробки приміщень - ЗА КОДОМ CPV ЗА ДК 021:2015 - 90920000-2 (Послуги із санітарно-гігієнічної обробки приміщень) (COVID-19),,,"399,092.84",UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-001731-a,UA1475,,
"Нерегулярні пасажирські перевезення (організація перевезення пацієнтів з COVID-19 та медичних працівників) (спеціалізоване транспортне обслуговування та забезпечення спеціалізованим автотранспортом закладів охорони здоров'я, що засновані на комунальній власності територіальної громади міста Києва)",,,"1,268,898.15",UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-001527-a,UA1476,,
Лікарські засоби різні(тест на виявлення антитіл до COVID-19),,,"6,000.00",UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-001519-a,UA1477,,
Респіратор FF P2 для захисту від коронавірусу COVID -19,,,75.50,UAH,,,Ukraine,2020-04-08,https://prozorro.gov.ua/tender/UA-2020-04-08-001464-a,UA1478,,
